kind,epoch,batch,total,value,policy,samples
batch,0,1,52882.941406,27.055933,52855.886719,3
epoch,0,0,52882.941406,27.055933,52855.886719,3
batch,1,1,564333.125000,1320.479492,563012.625000,3
epoch,1,0,564333.125000,1320.479492,563012.625000,3
batch,2,1,88959.765625,734.710632,88225.054688,3
epoch,2,0,88959.765625,734.710632,88225.054688,3
batch,3,1,108530.945312,933.889954,107597.054688,3
epoch,3,0,108530.945312,933.889954,107597.054688,3
batch,4,1,119258.335938,1236.675537,118021.664062,3
epoch,4,0,119258.335938,1236.675537,118021.664062,3
batch,5,1,192428.296875,1319.422729,191108.875000,3
epoch,5,0,192428.296875,1319.422729,191108.875000,3
batch,6,1,103829.210938,504.674561,103324.539062,3
epoch,6,0,103829.210938,504.674561,103324.539062,3
batch,7,1,137556.343750,697.258972,136859.078125,5
epoch,7,0,137556.343750,697.258972,136859.078125,5
batch,8,1,353908.937500,1316.732300,352592.218750,3
epoch,8,0,353908.937500,1316.732300,352592.218750,3
batch,9,1,165560.515625,1315.840454,164244.671875,3
epoch,9,0,165560.515625,1315.840454,164244.671875,3
batch,10,1,373378.031250,1315.284912,372062.750000,3
epoch,10,0,373378.031250,1315.284912,372062.750000,3
batch,11,1,45221.476562,445.834106,44775.640625,3
epoch,11,0,45221.476562,445.834106,44775.640625,3
batch,12,1,131712.109375,786.823364,130925.289062,5
epoch,12,0,131712.109375,786.823364,130925.289062,5
batch,13,1,155147.265625,1307.707642,153839.562500,3
epoch,13,0,155147.265625,1307.707642,153839.562500,3
batch,14,1,103127.367188,1225.658325,101901.710938,3
epoch,14,0,103127.367188,1225.658325,101901.710938,3
batch,15,1,55747.492188,547.289612,55200.203125,3
epoch,15,0,55747.492188,547.289612,55200.203125,3
batch,16,1,126109.531250,1300.347168,124809.187500,3
epoch,16,0,126109.531250,1300.347168,124809.187500,3
batch,17,1,13379.248047,1.234560,13378.013672,2
epoch,17,0,13379.248047,1.234560,13378.013672,2
batch,18,1,126960.046875,1291.972900,125668.070312,3
epoch,18,0,126960.046875,1291.972900,125668.070312,3
batch,19,1,11194.425781,1.157215,11193.268555,2
epoch,19,0,11194.425781,1.157215,11193.268555,2
batch,20,1,53065.746094,1288.666748,51777.078125,3
epoch,20,0,53065.746094,1288.666748,51777.078125,3
batch,21,1,26964.234375,0.988697,26963.246094,2
epoch,21,0,26964.234375,0.988697,26963.246094,2
batch,22,1,13028.084961,0.956284,13027.128906,2
epoch,22,0,13028.084961,0.956284,13027.128906,2
batch,23,1,16186.692383,1283.790649,14902.901367,3
epoch,23,0,16186.692383,1283.790649,14902.901367,3
batch,24,1,19767.031250,1283.064087,18483.966797,3
epoch,24,0,19767.031250,1283.064087,18483.966797,3
batch,25,1,16299.580078,1282.969849,15016.610352,3
epoch,25,0,16299.580078,1282.969849,15016.610352,3
batch,26,1,24157.207031,23.426107,24133.781250,3
epoch,26,0,24157.207031,23.426107,24133.781250,3
batch,27,1,19639.798828,300.923981,19338.875000,3
epoch,27,0,19639.798828,300.923981,19338.875000,3
batch,28,1,31935.375000,1282.114868,30653.259766,3
epoch,28,0,31935.375000,1282.114868,30653.259766,3
batch,29,1,18699.394531,162.069839,18537.324219,3
epoch,29,0,18699.394531,162.069839,18537.324219,3
batch,30,1,16990.046875,1282.112427,15707.933594,3
epoch,30,0,16990.046875,1282.112427,15707.933594,3
batch,31,1,24759.929688,812.655579,23947.273438,5
epoch,31,0,24759.929688,812.655579,23947.273438,5
batch,32,1,28659.083984,1122.186035,27536.898438,3
epoch,32,0,28659.083984,1122.186035,27536.898438,3
batch,33,1,27968.863281,1.066349,27967.796875,4
epoch,33,0,27968.863281,1.066349,27967.796875,4
batch,34,1,18376.917969,162.045273,18214.873047,3
epoch,34,0,18376.917969,162.045273,18214.873047,3
batch,35,1,29354.460938,769.653687,28584.806641,5
epoch,35,0,29354.460938,769.653687,28584.806641,5
batch,36,1,20313.564453,482.050812,19831.513672,3
epoch,36,0,20313.564453,482.050812,19831.513672,3
batch,37,1,18626.679688,1282.062012,17344.617188,3
epoch,37,0,18626.679688,1282.062012,17344.617188,3
batch,38,1,27893.523438,1122.049561,26771.474609,3
epoch,38,0,27893.523438,1122.049561,26771.474609,3
batch,39,1,34826.718750,1282.056030,33544.664062,3
epoch,39,0,34826.718750,1282.056030,33544.664062,3
batch,40,1,18774.312500,1282.033813,17492.279297,3
epoch,40,0,18774.312500,1282.033813,17492.279297,3
batch,41,1,15773.191406,432.720062,15340.471680,3
epoch,41,0,15773.191406,432.720062,15340.471680,3
batch,42,1,25759.839844,902.053223,24857.787109,3
epoch,42,0,25759.839844,902.053223,24857.787109,3
batch,43,1,35252.792969,859.424011,34393.367188,5
epoch,43,0,35252.792969,859.424011,34393.367188,5
batch,44,1,25911.042969,810.336853,25100.707031,5
